L1p,L1s,L3p,L3s,Lm,Wn1,Wn2,S11,S22,LargeSignalPowerGain,PAE,DrainEfficiency,PSAT,PowerConsumption
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.5e-05,2.8e-05,-8.927,-1.804,11.7,1.866,2.427,-4.202,0.0146
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.5e-05,3.6e-05,-8.894,-3.423,9.624,2.237,3.9,-1.282,0.0165
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.5e-05,4e-05,-8.83,-4.436,8.349,2.098,3.949,-1.168,0.0174
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.8e-05,3.2e-05,-8.318,-2.448,9.962,1.914,3.621,-1.559,0.0165
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.8e-05,2.4e-05,-8.292,-1.236,11.3,1.501,2.752,-3.492,0.0147
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.8e-05,2.8e-05,-8.37,-1.74,10.79,1.656,3.1,-2.518,0.0156
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.8e-05,3.6e-05,-8.232,-3.354,8.931,2.046,3.923,-1.091,0.0174
3.5e-10,1.2e-10,2.38e-10,6e-11,2.63e-10,2.8e-05,4e-05,-8.149,-4.383,7.76,1.959,3.997,-0.951,0.0184
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.2e-05,3.2e-05,-11.38,-1.058,7.307,0.702,1.593,-5.253,0.0146
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.2e-05,2.4e-05,-10.72,-0.559,8.073,0.596,1.222,-7.189,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.2e-05,2.8e-05,-11.16,-0.765,7.887,0.638,1.379,-6.209,0.0137
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.2e-05,3.6e-05,-11.47,-1.443,6.493,0.725,1.743,-4.705,0.0155
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.2e-05,4e-05,-11.49,-1.894,5.524,0.665,1.819,-4.451,0.0164
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.6e-05,3.2e-05,-14.16,-1.069,6.276,0.622,1.47,-6.257,0.0126
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.6e-05,2.4e-05,-13.83,-0.526,6.689,0.526,1.178,-7.956,0.0108
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.6e-05,2.8e-05,-14.09,-0.75,6.797,0.594,1.305,-7.099,0.0117
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.6e-05,3.6e-05,-14.13,-1.477,5.407,0.566,1.591,-5.754,0.0135
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.6e-05,4e-05,-14.07,-1.941,4.34,0.419,1.648,-5.496,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.9e-05,3.2e-05,-13.76,-1.068,7.016,0.693,1.54,-5.679,0.0136
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.9e-05,2.4e-05,-13.08,-0.543,7.596,0.582,1.205,-7.494,0.0118
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.9e-05,2.8e-05,-13.54,-0.761,7.569,0.638,1.348,-6.578,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.9e-05,3.6e-05,-13.84,-1.464,6.163,0.684,1.674,-5.162,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,1.9e-05,4e-05,-13.84,-1.921,5.135,0.578,1.744,-4.905,0.0154
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.5e-05,3.2e-05,-9.757,-1.036,7.136,0.664,1.627,-4.983,0.0156
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.5e-05,2.4e-05,-9.239,-0.566,8.007,0.566,1.234,-6.982,0.0137
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.5e-05,2.8e-05,-9.601,-0.757,7.696,0.597,1.4,-5.975,0.0146
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.5e-05,3.6e-05,-9.803,-1.412,6.404,0.702,1.79,-4.403,0.0165
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.5e-05,4e-05,-9.798,-1.861,5.529,0.671,1.874,-4.131,0.0174
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.8e-05,3.2e-05,-8.854,-1.007,6.481,0.579,1.64,-4.832,0.0165
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.8e-05,2.4e-05,-8.563,-0.559,7.249,0.487,1.238,-6.848,0.0147
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.8e-05,2.8e-05,-8.788,-0.738,6.939,0.513,1.405,-5.841,0.0156
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.8e-05,3.6e-05,-8.845,-1.378,5.878,0.622,1.814,-4.227,0.0175
3.5e-10,1.2e-10,2.38e-10,3e-11,1.75e-10,2.8e-05,4e-05,-8.804,-1.827,5.125,0.608,1.907,-3.934,0.0184
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.2e-05,3.2e-05,-12.79,-0.976,6.7,0.704,1.677,-4.817,0.0146
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.2e-05,2.4e-05,-12.08,-0.508,7.222,0.577,1.267,-6.825,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.2e-05,2.8e-05,-12.51,-0.691,7.111,0.638,1.437,-5.835,0.0137
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.2e-05,3.6e-05,-12.96,-1.391,6.098,0.725,1.846,-4.235,0.0155
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.2e-05,4e-05,-13.06,-1.93,5.33,0.681,1.931,-3.971,0.0164
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.6e-05,3.2e-05,-15.5,-0.96,5.403,0.556,1.556,-5.765,0.0126
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.6e-05,2.4e-05,-15.16,-0.474,5.406,0.44,1.199,-7.579,0.0108
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.6e-05,2.8e-05,-15.41,-0.659,5.671,0.524,1.359,-6.672,0.0117
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.6e-05,3.6e-05,-15.5,-1.399,4.816,0.513,1.693,-5.264,0.0136
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.6e-05,4e-05,-15.46,-1.962,3.999,0.395,1.746,-5.044,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.9e-05,3.2e-05,-15.83,-0.971,6.241,0.664,1.625,-5.224,0.0136
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.9e-05,2.4e-05,-15.1,-0.489,6.495,0.53,1.239,-7.129,0.0118
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.9e-05,2.8e-05,-15.54,-0.676,6.586,0.609,1.316,-7.052,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.9e-05,3.6e-05,-15.98,-1.399,5.635,0.66,1.779,-4.678,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,1.9e-05,4e-05,-16.05,-1.951,4.831,0.575,1.854,-4.433,0.0155
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.5e-05,3.2e-05,-10.67,-0.968,6.742,0.694,1.712,-4.549,0.0156
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.5e-05,2.4e-05,-10.03,-0.523,7.44,0.577,1.287,-6.62,0.0137
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.5e-05,2.8e-05,-10.43,-0.696,7.165,0.624,1.461,-5.601,0.0147
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.5e-05,3.6e-05,-10.8,-1.37,6.193,0.732,1.893,-3.933,0.0165
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.5e-05,4e-05,-10.87,-1.898,5.5,0.714,1.988,-3.643,0.0174
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.8e-05,3.2e-05,-9.435,-0.947,6.282,0.624,1.728,-4.408,0.0166
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.8e-05,2.4e-05,-8.965,-0.526,6.91,0.516,1.298,-6.496,0.0147
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.8e-05,2.8e-05,-9.274,-0.687,6.619,0.552,1.47,-5.471,0.0156
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.8e-05,3.6e-05,-9.51,-1.336,5.851,0.674,1.916,-3.767,0.0175
3.5e-10,1.2e-10,2.38e-10,3e-11,8.75e-11,2.8e-05,4e-05,-9.536,-1.856,5.279,0.68,2.021,-3.451,0.0184
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.2e-05,3.2e-05,-10.15,-1.084,7.448,0.671,1.482,-5.774,0.0146
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.2e-05,2.4e-05,-9.694,-0.609,8.472,0.538,1.114,-7.76,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.2e-05,2.8e-05,-10.05,-0.817,8.237,0.602,1.264,-6.745,0.0136
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.2e-05,3.6e-05,-10.14,-1.406,6.417,0.67,1.619,-5.262,0.0155
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.2e-05,4e-05,-10.1,-1.757,5.282,0.569,1.675,-5.041,0.0164
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.6e-05,2.4e-05,-12.58,-0.587,7.613,0.537,1.088,-8.335,0.0108
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.6e-05,2.8e-05,-12.82,-0.826,7.549,0.61,1.221,-7.437,0.0117
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.6e-05,3.6e-05,-12.76,-1.449,5.59,0.552,1.497,-6.116,0.0135
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.6e-05,4e-05,-12.69,-1.8,4.328,0.368,1.533,-5.922,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.9e-05,3.2e-05,-12.02,-1.104,7.35,0.685,1.454,-6.092,0.0136
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.9e-05,2.4e-05,-11.51,-0.601,8.249,0.553,1.11,-7.993,0.0117
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.9e-05,2.8e-05,-11.91,-0.826,8.14,0.625,1.252,-7.029,0.0127
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.9e-05,3.6e-05,-12.01,-1.43,6.256,0.655,1.575,-5.606,0.0145
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,1.9e-05,4e-05,-11.96,-1.78,5.049,0.51,1.622,-5.406,0.0154
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.5e-05,3.2e-05,-8.953,-1.058,7.062,0.613,1.492,-5.525,0.0155
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.5e-05,2.4e-05,-8.691,-0.605,8.193,0.488,1.111,-7.565,0.0137
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.5e-05,2.8e-05,-8.924,-0.798,7.819,0.545,1.267,-6.516,0.0146
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.5e-05,3.6e-05,-8.91,-1.379,6.125,0.631,1.639,-4.993,0.0165
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.5e-05,4e-05,-8.848,-1.734,5.084,0.559,1.708,-4.748,0.0174
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.8e-05,3.2e-05,-8.33,-1.031,6.236,0.522,1.498,-5.347,0.0165
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.8e-05,2.4e-05,-8.285,-0.591,7.308,0.407,1.108,-7.418,0.0147
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.8e-05,2.8e-05,-8.374,-0.775,6.896,0.459,1.27,-6.355,0.0156
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.8e-05,3.6e-05,-8.25,-1.354,5.419,0.535,1.651,-4.795,0.0174
3.5e-10,1.2e-10,2.38e-10,3e-11,2.63e-10,2.8e-05,4e-05,-8.166,-1.715,4.485,0.474,1.705,-5.018,0.0184
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.2e-05,3.2e-05,-11.39,-4.008,12.67,4.144,5.887,0.279,0.0146
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.2e-05,2.4e-05,-10.76,-1.808,14.28,3.97,5.312,-0.792,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.2e-05,2.8e-05,-11.19,-2.727,13.74,3.988,5.512,-0.306,0.0137
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.2e-05,3.6e-05,-11.45,-5.702,11.29,4.141,6.11,0.606,0.0155
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.2e-05,4e-05,-11.45,-7.82,9.759,3.662,5.967,0.594,0.0164
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.6e-05,3.2e-05,-14.14,-4.029,11.6,3.906,5.531,-0.724,0.0126
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.6e-05,2.4e-05,-13.86,-1.646,12.92,3.787,5.122,-1.559,0.0108
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.6e-05,2.8e-05,-14.1,-2.638,12.65,3.849,5.27,-1.137,0.0117
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.6e-05,3.6e-05,-14.1,-5.822,10.14,3.54,5.657,-0.339,0.0135
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.6e-05,4e-05,-14.04,-8.017,8.511,2.57,5.334,-0.462,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.9e-05,3.2e-05,-13.77,-4.04,12.36,4.108,5.739,-0.108,0.0136
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.9e-05,2.4e-05,-13.13,-1.728,13.82,3.95,5.238,-1.1,0.0118
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.9e-05,2.8e-05,-13.57,-2.699,13.42,3.974,5.418,-0.651,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.9e-05,3.6e-05,-13.81,-5.785,10.93,3.99,5.911,0.197,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,1.9e-05,4e-05,-13.8,-7.94,9.336,3.276,5.729,0.168,0.0154
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.5e-05,3.2e-05,-9.753,-3.919,12.52,4.042,5.976,0.525,0.0156
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.5e-05,2.4e-05,-9.278,-1.844,14.2,3.871,5.367,-0.582,0.0137
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.5e-05,2.8e-05,-9.623,-2.697,13.55,3.871,5.567,-0.089,0.0146
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.5e-05,3.6e-05,-9.779,-5.571,11.23,4.111,6.237,0.875,0.0165
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.5e-05,4e-05,-9.764,-7.659,9.798,3.786,6.126,0.882,0.0174
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.8e-05,3.2e-05,-8.838,-3.788,11.89,3.781,6.0,0.662,0.0165
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.8e-05,2.4e-05,-8.586,-1.816,13.43,3.6,5.382,-0.448,0.0147
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.8e-05,3.6e-05,-8.813,-5.409,10.74,3.891,6.282,0.731,0.0175
3.5e-10,1.2e-10,2.38e-10,9e-11,1.75e-10,2.8e-05,4e-05,-8.766,-7.478,9.422,3.664,6.211,1.056,0.0184
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.2e-05,3.2e-05,-12.83,-3.56,12.12,4.382,6.21,0.718,0.0146
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.2e-05,2.4e-05,-12.12,-1.564,13.48,4.079,5.469,-0.481,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.2e-05,2.8e-05,-12.56,-2.36,13.02,4.298,5.893,0.21,0.0137
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.2e-05,3.6e-05,-12.98,-5.255,10.88,4.286,6.314,0.94,0.0155
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.2e-05,4e-05,-13.05,-7.498,9.437,3.782,6.123,0.893,0.0164
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.6e-05,3.2e-05,-15.5,-3.462,10.81,3.923,5.838,-0.15,0.0126
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.6e-05,2.4e-05,-15.19,-1.405,11.7,3.694,5.211,-1.21,0.0108
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.6e-05,2.8e-05,-15.43,-2.204,11.61,3.965,5.607,-0.593,0.0117
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.6e-05,3.6e-05,-15.48,-5.234,9.558,3.476,5.871,0.02,0.0136
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.6e-05,4e-05,-15.43,-7.553,8.049,2.554,5.505,-0.143,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.9e-05,3.2e-05,-15.86,-3.523,11.65,4.263,6.058,0.344,0.0136
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.9e-05,2.4e-05,-15.14,-1.476,12.77,3.964,5.37,-0.776,0.0118
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.9e-05,2.8e-05,-15.59,-2.285,12.51,4.214,5.778,-0.131,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,1.9e-05,3.6e-05,-15.99,-5.262,10.4,4.033,6.127,0.546,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.5e-05,3.2e-05,-10.7,-3.544,12.17,4.35,6.308,0.966,0.0156
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.5e-05,2.4e-05,-10.07,-1.64,13.67,4.045,5.548,-0.279,0.0137
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.5e-05,2.8e-05,-10.47,-2.395,13.07,4.234,5.969,0.43,0.0147
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.5e-05,3.6e-05,-10.81,-5.188,11.01,4.309,6.436,1.208,0.0165
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.5e-05,4e-05,-10.86,-7.387,9.646,3.973,6.273,1.181,0.0174
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.8e-05,3.2e-05,-9.449,-3.458,11.74,4.128,6.341,1.097,0.0166
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.8e-05,2.4e-05,-9.0,-1.657,13.13,3.843,5.59,-0.157,0.0147
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.8e-05,2.8e-05,-9.304,-2.361,12.53,3.999,5.992,0.549,0.0156
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.8e-05,3.6e-05,-9.505,-5.055,10.7,4.157,6.49,1.358,0.0175
3.5e-10,1.2e-10,2.38e-10,9e-11,8.75e-11,2.8e-05,4e-05,-9.513,-7.21,9.468,3.901,6.356,1.206,0.0184
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.2e-05,3.2e-05,-10.12,-4.205,12.82,3.951,5.646,-0.079,0.0146
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.2e-05,2.4e-05,-9.729,-2.05,14.67,3.464,4.746,-1.495,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.2e-05,2.8e-05,-10.05,-2.996,14.07,3.669,5.098,-0.775,0.0136
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.2e-05,3.6e-05,-10.1,-5.699,11.3,3.909,5.812,0.175,0.0155
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.2e-05,4e-05,-10.06,-7.443,9.715,3.297,5.59,0.09,0.0164
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.6e-05,3.2e-05,-12.8,-4.342,12.05,3.827,5.369,-0.817,0.0126
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.6e-05,2.4e-05,-12.6,-1.938,13.81,3.459,4.668,-2.06,0.0108
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.6e-05,2.8e-05,-12.81,-3.022,13.35,3.688,4.973,-1.749,0.0117
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.6e-05,3.6e-05,-12.73,-5.897,10.41,3.362,5.411,-0.622,0.0135
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.6e-05,4e-05,-12.66,-7.667,8.707,2.341,5.048,-0.808,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.9e-05,3.2e-05,-12.0,-4.293,12.69,3.965,5.573,-0.369,0.0136
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.9e-05,2.4e-05,-11.55,-2.009,14.46,3.503,4.747,-1.721,0.0117
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.9e-05,2.8e-05,-11.91,-3.031,13.96,3.72,5.075,-1.046,0.0127
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.9e-05,3.6e-05,-11.97,-5.813,11.11,3.768,5.676,-0.144,0.0145
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,1.9e-05,4e-05,-11.93,-7.566,9.456,2.924,5.408,-0.265,0.0154
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.5e-05,3.2e-05,-8.924,-4.086,12.45,3.799,5.657,0.149,0.0155
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.5e-05,2.4e-05,-8.71,-2.035,14.37,3.304,4.719,-1.308,0.0137
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.5e-05,2.8e-05,-8.915,-2.913,13.65,3.5,5.093,-0.559,0.0146
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.5e-05,3.6e-05,-8.873,-5.567,11.04,3.824,5.864,0.421,0.0165
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.5e-05,4e-05,-8.813,-7.313,9.538,3.393,5.694,0.368,0.0174
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.8e-05,3.2e-05,-8.297,-3.958,11.64,3.492,5.658,0.312,0.0165
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.8e-05,2.4e-05,-8.287,-1.971,13.47,2.996,4.698,-1.169,0.0147
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.8e-05,2.8e-05,-8.354,-2.805,12.73,3.183,5.091,-0.406,0.0156
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.8e-05,3.6e-05,-8.213,-5.438,10.35,3.548,5.887,0.603,0.0174
3.5e-10,1.2e-10,2.38e-10,9e-11,2.63e-10,2.8e-05,4e-05,-8.134,-7.195,8.952,3.239,5.759,0.577,0.0184
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.2e-05,3.2e-05,-11.33,-5.042,13.83,9.476,11.76,2.963,0.0146
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.2e-05,2.4e-05,-11.08,-10.78,20.36,16.48,18.26,4.151,0.0127
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.2e-05,2.8e-05,-11.27,-7.11,17.38,13.52,15.45,3.775,0.0137
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.2e-05,3.6e-05,-11.35,-4.004,10.58,5.599,8.38,1.86,0.0155
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.2e-05,4e-05,-11.36,-3.417,7.758,2.639,5.649,0.43,0.0164
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.6e-05,3.2e-05,-14.03,-4.715,12.52,8.378,11.26,2.287,0.0126
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.6e-05,2.4e-05,-14.03,-8.906,19.2,16.97,18.67,3.688,0.0108
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.6e-05,2.8e-05,-14.06,-6.36,16.13,13.35,15.42,3.236,0.0117
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.6e-05,3.6e-05,-14.0,-3.845,9.229,3.889,7.452,0.829,0.0135
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.6e-05,4e-05,-13.97,-3.331,6.36,1.438,4.396,-1.194,0.0145
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.9e-05,3.2e-05,-13.69,-4.867,13.4,9.223,11.62,2.7,0.0136
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.9e-05,2.4e-05,-13.45,-9.686,19.99,16.88,18.53,3.967,0.0118
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.9e-05,2.8e-05,-13.64,-6.689,16.99,13.66,15.54,3.558,0.0127
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.9e-05,3.6e-05,-13.7,-3.921,10.12,4.993,8.068,1.482,0.0145
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,1.9e-05,4e-05,-13.71,-3.374,7.258,2.123,5.183,-0.18,0.0154
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.5e-05,3.2e-05,-9.665,-5.208,13.82,9.377,11.75,3.117,0.0156
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.5e-05,2.4e-05,-9.523,-11.99,20.25,15.88,18.06,4.277,0.0137
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.5e-05,2.8e-05,-9.642,-7.554,17.28,13.09,15.3,3.911,0.0146
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.5e-05,3.6e-05,-9.672,-4.076,10.64,5.791,8.526,2.072,0.0165
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.5e-05,4e-05,-9.67,-3.453,7.871,2.919,5.886,0.773,0.0174
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.8e-05,3.2e-05,-8.718,-5.311,13.31,8.953,11.66,3.199,0.0165
3.5e-10,1.2e-10,7.13e-10,6e-11,1.75e-10,2.8e-05,2.4e-05,-8.721,-12.7,19.55,15.03,17.92,4.36,0.0147
